iter	Passed	Remaining
0	185	27565
1	220	16312
2	273	13394
3	308	11268
4	351	10191
5	406	9760
6	450	9195
7	493	8757
8	549	8602
9	600	8404
10	644	8143
11	687	7902
12	730	7700
13	777	7554
14	822	7398
15	866	7254
16	914	7155
17	959	7035
18	1004	6926
19	1053	6850
20	1097	6741
21	1140	6634
22	1183	6537
23	1227	6446
24	1274	6374
25	1317	6284
26	1361	6204
27	1405	6125
28	1449	6046
29	1490	5960
30	1533	5887
31	1577	5816
32	1621	5750
33	1666	5687
34	1710	5621
35	1753	5553
36	1801	5500
37	1844	5436
38	1889	5376
39	1937	5328
40	1989	5289
41	2047	5263
42	2093	5208
43	2136	5147
44	2185	5100
45	2236	5056
46	2291	5021
47	2338	4969
48	2389	4926
49	2441	4882
50	2486	4826
51	2531	4770
52	2576	4715
53	2624	4666
54	2669	4610
55	2715	4557
56	2760	4504
57	2777	4405
58	2806	4328
59	2852	4279
60	2900	4232
61	2932	4162
62	2956	4082
63	2979	4003
64	3027	3959
65	3071	3908
66	3107	3849
67	3137	3783
68	3182	3735
69	3225	3686
70	3261	3628
71	3289	3563
72	3332	3514
73	3356	3447
74	3400	3400
75	3415	3325
76	3457	3277
77	3501	3231
78	3545	3186
79	3589	3141
80	3613	3077
81	3660	3035
82	3684	2973
83	3716	2920
84	3764	2878
85	3812	2837
86	3860	2795
87	3916	2759
88	3964	2717
89	3997	2664
90	4036	2617
91	4061	2560
92	4112	2520
93	4157	2477
94	4203	2433
95	4248	2390
96	4271	2333
97	4314	2289
98	4359	2245
99	4402	2201
100	4449	2158
101	4492	2114
102	4515	2060
103	4559	2016
104	4605	1973
105	4656	1933
106	4705	1890
107	4753	1848
108	4801	1805
109	4847	1762
110	4896	1720
111	4939	1675
112	4988	1633
113	5035	1590
114	5078	1545
115	5121	1501
116	5164	1456
117	5207	1412
118	5242	1365
119	5286	1321
120	5332	1277
121	5379	1234
122	5422	1190
123	5467	1146
124	5515	1103
125	5568	1060
126	5610	1016
127	5634	968
128	5659	921
129	5686	874
130	5733	831
131	5780	788
132	5804	741
133	5852	698
134	5877	653
135	5928	610
136	5978	567
137	6025	523
138	6073	480
139	6119	437
140	6166	393
141	6209	349
142	6258	306
143	6301	262
144	6345	218
145	6388	175
146	6409	130
147	6451	87
148	6493	43
149	6537	0
